__time,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2]
1778751616.968842,0.008275623,0.003461231,-0.000029044,0.000015250,0.000015220,0.000578228,1.000000000,1.028337479,0.041642498,-2.517395258,0.011360344,0.011362443,0.027116789,0.999998033,-0.002023393,0.000194249,0.000114528,0.000000000,12.000000000,1778751616936731.000000000,1778751616936731.000000000,-0.040307596,-0.029389011,0.020342132,1.000000000,0.003764206,0.003775289,0.002894825
1778751616.975260,0.007740346,0.003335293,0.000349210,0.000015274,0.000015244,0.000578350,1.000000000,1.028244138,0.041467901,-2.517323256,0.011422778,0.011424961,0.027202241,0.999998033,-0.001992134,0.000205268,0.000116385,0.000000000,12.000000000,1778751616944731.000000000,1778751616944731.000000000,-0.040096231,-0.029650699,0.020186072,1.000000000,0.003790828,0.003801840,0.002903095
1778751616.987764,0.007219485,0.002742808,-0.000085832,0.000015322,0.000015291,0.000578594,1.000000000,1.028047085,0.041106846,-2.517117977,0.011549391,0.011551748,0.027313938,0.999998152,-0.001929122,0.000225492,0.000117726,0.000000000,12.000000000,1778751616960731.000000000,1778751616960731.000000000,-0.039909504,-0.030246785,0.019981436,1.000000000,0.003844419,0.003855296,0.002917303
1778751617.003153,0.007565361,0.003704778,-0.000862178,0.000015244,0.000015213,0.000578671,1.000000000,1.027938247,0.040926695,-2.517043352,0.011352918,0.011355036,0.027086081,0.999998212,-0.001898613,0.000238265,0.000114711,0.000000000,12.000000000,1778751616968731.000000000,1778751616968731.000000000,-0.039734494,-0.030495627,0.019806031,1.000000000,0.003761052,0.003771314,0.002892972
1778751617.014630,0.007812771,0.002515907,-0.000395113,0.000015268,0.000015237,0.000578793,1.000000000,1.027826548,0.040742666,-2.516967297,0.011415286,0.011417486,0.027171424,0.999998271,-0.001867056,0.000246486,0.000113485,0.000000000,12.000000000,1778751616980731.000000000,1778751616976731.000000000,-0.039576612,-0.030755527,0.019639021,1.000000000,0.003787639,0.003797845,0.002901242
1778751617.023449,0.009128166,0.003401510,-0.000358882,0.000015292,0.000015260,0.000578915,1.000000000,1.027712345,0.040554553,-2.516888857,0.011478233,0.011480517,0.027257143,0.999998391,-0.001830253,0.000258345,0.000112386,0.000000000,12.000000000,1778751616988731.000000000,1778751616984731.000000000,-0.039410476,-0.031057404,0.019529255,1.000000000,0.003814343,0.003824482,0.002909512
1778751617.036020,0.008425226,0.004051114,-0.000818067,0.000015317,0.000015284,0.000579038,1.000000000,1.027595162,0.040362593,-2.516808748,0.011541764,0.011544133,0.027343241,0.999998391,-0.001796277,0.000272890,0.000109437,0.000000000,12.000000000,1778751616996731.000000000,1778751616992731.000000000,-0.039286725,-0.031300470,0.019386103,1.000000000,0.003841178,0.003851255,0.002917785
1778751617.057228,0.008042983,0.004209693,-0.000997839,0.000015239,0.000015206,0.000579118,1.000000000,1.027463436,0.040169988,-2.516765356,0.011345640,0.011347773,0.027055427,0.999998510,-0.001763844,0.000288157,0.000105757,0.000000000,12.000000000,1778751617004731.000000000,1778751617000731.000000000,-0.039194584,-0.031553831,0.019267315,1.000000000,0.003757997,0.003767496,0.002891137
1778751617.083389,0.008345445,0.002040579,0.000005354,0.000015287,0.000015253,0.000579363,1.000000000,1.027191520,0.039774600,-2.516671419,0.011470826,0.011473121,0.027226273,0.999998510,-0.001697404,0.000303244,0.000102561,0.000000000,12.000000000,1778751617020731.000000000,1778751617016731.000000000,-0.038962197,-0.031923451,0.018945521,1.000000000,0.003811281,0.003820655,0.002907677
1778751617.097447,0.008237908,0.002283403,0.000309347,0.000015311,0.000015277,0.000579485,1.000000000,1.027051687,0.039572041,-2.516620398,0.011534292,0.011536670,0.027312260,0.999998629,-0.001664217,0.000311307,0.000104012,0.000000000,12.000000000,1778751617028731.000000000,1778751617024731.000000000,-0.038846686,-0.032158896,0.018811291,1.000000000,0.003838098,0.003847406,0.002915949
